2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Start listening for new input messages
2018-12-30 14:28:55 - apollo_python_common.mq.abstract_mq_consumer - INFO - Start listening for new input messages
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Start consuming messages on queue a4ccbb2a8db9404a9da42f11947180dc
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Start consuming messages on queue 5562ca682f944167b6cf7c7b2c137a5e
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:28:56 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:29:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1043), ('predict', 0.0276), ('postprocess', 0.0006)]
2018-12-30 14:29:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1083), ('predict', 0.0134), ('postprocess', 0.0006)]
2018-12-30 14:29:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1004), ('predict', 0.0125), ('postprocess', 0.0006)]
2018-12-30 14:29:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1073), ('predict', 0.0129), ('postprocess', 0.0006)]
2018-12-30 14:29:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1081), ('predict', 0.0131), ('postprocess', 0.0006)]
2018-12-30 14:29:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1168), ('predict', 0.0137), ('postprocess', 0.0006)]
2018-12-30 14:29:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1107), ('predict', 0.014), ('postprocess', 0.0006)]
2018-12-30 14:29:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1031), ('predict', 0.0131), ('postprocess', 0.0005)]
2018-12-30 14:29:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1301), ('predict', 0.0125), ('postprocess', 0.0006)]
2018-12-30 14:29:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0949), ('predict', 0.0128), ('postprocess', 0.0006)]
